label,count,avg_score,std_score
Non-Structural Steel Fabrication,124,0.8107661290322581,0.09996113951199263
Digital Marketing Services,124,0.8066048387096773,0.11241515814726494
Mobile Home Construction Services,123,0.8161138211382114,0.10400135585907101
Insulation Services,122,0.7955819672131148,0.11187477061531934
Grain Processing Services,122,0.768483606557377,0.10142621253176191
Software Manufacturing,121,0.8022231404958676,0.09443485299430024
Tank Installation Services,120,0.8008249999999999,0.09785769658801807
Volunteer Services,120,0.7631666666666668,0.09246587681599164
Management Consulting,119,0.7940084033613445,0.10391542322014746
Pesticide Application Services,119,0.7089915966386555,0.1155612315349305
Environmental Health Services,119,0.7851596638655461,0.10328428623433918
Data Analysis Services,118,0.784050847457627,0.11132311080488039
Fire Protection System Services,118,0.7934830508474577,0.115513475223171
Physical Therapy Services,113,0.7992212389380532,0.120069082385433
Street Cleaning Operations,112,0.8213303571428572,0.09449594951926234
Market Research Services,112,0.7435357142857143,0.12036535437084267
Tent Manufacturing Services,112,0.7730089285714286,0.09709812029389377
Timber Harvesting Operations,112,0.7452142857142857,0.1115531973101436
Agricultural Machinery Installation,110,0.7657545454545456,0.07926858145994682
Animal Day Care Services,109,0.7966972477064219,0.09344908542318012
Welding Services,109,0.8264036697247705,0.10979299708374232
Ink Production Services,109,0.7579174311926606,0.1019617873628597
Rope Production Services,108,0.7550277777777775,0.11606906245234765
Social Media Services,107,0.7880747663551402,0.09899654090913075
Pet Grooming Services,106,0.7783962264150944,0.09621302547648485
Commercial Plumbing Services,106,0.7852830188679245,0.09598568888537311
Pipeline Construction Services,104,0.8198653846153845,0.10280078365576298
Cable Installation Services,104,0.8247692307692309,0.12489912285009422
Ice Production Services,100,0.79688,0.13652574256834638
Gardening Services,99,0.7438787878787878,0.12549496068647317
Corporate Responsibility Services,98,0.7319999999999999,0.10770013736123489
Corporate Training Services,93,0.7662903225806452,0.08210115455486992
Window Treatment Manufacturing,93,0.7812688172043012,0.10696272611491169
Carpentry Services,92,0.781771739130435,0.09664220897301523
Human Resources Services,91,0.8010329670329671,0.0977366587143967
Painting Services,91,0.8192307692307693,0.11104324252020792
Environmental Consulting,91,0.7871538461538462,0.11553469157471688
Veterinary Health Centers,89,0.7902247191011236,0.10845031883194141
Pet Boarding Services,86,0.7610697674418606,0.11966234757926393
Residential Communication Equipment Installation,85,0.7543176470588235,0.08681222370653773
Soil Nutrient Application Services,84,0.8033690476190475,0.12992034443410785
Alarm Installation Services,83,0.796542168674699,0.10258741676329668
Software Development Services,83,0.79,0.10982469401111093
Air Duct Cleaning Services,82,0.8144878048780487,0.10235308578851247
Commercial Irrigation Systems,80,0.76075,0.10903669107231749
Field Welding Services,80,0.800075,0.08969890210016332
Animal Training Services,80,0.785225,0.1030482220901912
General Snow Removal Services,77,0.7507142857142857,0.11696747828966651
Branding Services,75,0.7446666666666667,0.11277630733223842
Grain Handling Machinery Installation,74,0.7805135135135135,0.0885755220281236
Animal Trainers,74,0.7859594594594594,0.11316256208321751
Fencing Construction Services,74,0.7995405405405406,0.1090031027821785
Residential Roofing Services,73,0.8211095890410959,0.1131899290823265
Elevator Installation Services,73,0.782986301369863,0.10261125305825718
Public Relations Services,72,0.7966666666666667,0.11047719795326832
Single Family Residential Construction,72,0.7907222222222222,0.09135062034406606
Residential Plumbing Services,71,0.8004507042253519,0.08465590667644679
Tilt-Up Concrete Services,70,0.8362571428571428,0.11022870634214735
Fundraising Services,69,0.7184637681159421,0.10368796227569821
Fitness Coaching,68,0.8079852941176471,0.1408703746963015
Multi-Family Construction Services,68,0.7974117647058824,0.0997592976692709
Restoration Services,66,0.7908636363636364,0.09654044769917965
Flooring Installation Services,66,0.820030303030303,0.1201472135080665
Millwork Services,65,0.7474615384615385,0.09405335535665996
Roofing Services with Heat Application,63,0.788142857142857,0.0972024586744092
Canvas Manufacturing,63,0.7855238095238096,0.10959571706119123
Electric Line Construction,62,0.7521774193548388,0.09615518948742309
Content Creation Services,61,0.7904754098360657,0.08951156471975694
Road and Highway Construction,60,0.7828666666666667,0.08067269436320576
Waterproofing Services,60,0.7370833333333332,0.12842267232993396
Home Staging Services,59,0.7693220338983051,0.09839495373203783
Advertising Services,58,0.8257413793103449,0.133519899344147
Dock and Pier Construction,58,0.7761379310344826,0.08352464669886728
Gas Installation Services,57,0.8158421052631579,0.08783746952543418
Brewery Operations,56,0.7403928571428572,0.11870003118195631
Website Development Services,56,0.8375,0.12279161949490616
Distilling Services,56,0.6598750000000001,0.07898839097671828
Commercial Drain Cleaning,55,0.7976545454545455,0.08511021572965739
Pallet Manufacturing,55,0.8249090909090911,0.1235422064222457
Vacant Land Services,54,0.7644629629629629,0.10994624981171017
Excavation Services,54,0.7441296296296298,0.1543958458596868
Spray Painting Services,53,0.7855471698113208,0.0847892332691743
Well Drilling Services,51,0.8567254901960784,0.11813095757359669
Crisis Management Services,50,0.74902,0.09070483415328816
High-Rise Glass Installation,48,0.8303333333333333,0.10391165096212146
HVAC Installation and Service,48,0.8138125,0.08493643586999558
Seed Processing Services,48,0.8338749999999999,0.13260926847361154
Publishing Services,48,0.8000208333333333,0.09325587987470642
Veterinary Services,47,0.8155744680851066,0.11188751041168071
Landscaping Services,47,0.7644893617021276,0.12799029724441674
Veterinary Clinics,47,0.8587234042553191,0.10932017239515741
Project Management Services,47,0.8096382978723407,0.14350828267748095
Swimming Pool Maintenance Services,46,0.821978260869565,0.14347674827192727
HVAC Inspections,45,0.7738222222222221,0.1161488639025737
Directional Drilling Services,45,0.8205333333333334,0.1051493742686608
Infrastructure Excavation,43,0.8085813953488373,0.08369395283330681
Commercial Driveway Construction,42,0.7696428571428571,0.08263520227513373
Structural Steel Erection,41,0.7859024390243903,0.07701681792895912
Swimming Pool Installation Services,40,0.8192999999999999,0.1018556545262675
Windows and Doors Installation,38,0.7343157894736843,0.07943690518969532
Low-Rise Glass Installation,34,0.8394117647058823,0.08116989949895362
Residential Drainage Systems,33,0.7724545454545454,0.0922551119549382
Steam Services,33,0.7314242424242424,0.0931276108033455
Risk Assessment Services,33,0.754030303030303,0.12668279402914315
Soap Production Services,33,0.7377878787878789,0.10666998100911451
Drywall Services,33,0.7928787878787878,0.1143631162066024
Apartment Renovation Services,33,0.840121212121212,0.0869097080220895
Canning Services,32,0.75703125,0.1094076379874824
Trim Manufacturing,30,0.7325333333333334,0.06765058978937713
Septic System Services,30,0.7631000000000001,0.11385179416453112
Quality Assurance Services,30,0.7512999999999999,0.10705498104019842
Single Family Renovation Services,29,0.796448275862069,0.06290048046994358
Tree Services - Pruning / Removal,27,0.7895185185185185,0.08329344344423348
Tile Installation Services,27,0.8902592592592593,0.12896856879833837
Boiler Installation Services,26,0.7993846153846154,0.07276871686271619
Strategic Planning Services,23,0.7422608695652175,0.13429283382739118
Conveyor System Installation,23,0.7671304347826087,0.10056807027527814
Sidewalk Construction Services,22,0.7725454545454545,0.10747479317882482
Land Leveling Services,22,0.8025454545454545,0.062277204629384394
Stakeholder Services,22,0.7141363636363636,0.09895515841341156
Commercial Snow Removal,21,0.7578571428571428,0.143123123818021
Precast Concrete Installation,20,0.8281499999999999,0.07858436633058097
High-Rise Foundation Construction,18,0.7846111111111111,0.08560314651232429
Vacant Building Management,18,0.7316666666666667,0.07229514669252783
High-Rise Signage Installation,13,0.7764615384615384,0.08199960912977511
Residential Driveway Construction,13,0.773923076923077,0.09297621697550898
New Ground Excavation,12,0.7406666666666665,0.08726379373468528
Residential Snow Removal,9,0.8108888888888889,0.08159418552268974
Residential Drain Cleaning,8,0.807125,0.07558427179550746
Low-Rise Foundation Construction,6,0.7876666666666666,0.053615918034354934
New Ground Pipeline Installation,6,0.7646666666666667,0.07542590182866009
Low-Rise Signage Installation,6,0.7645,0.10239677729303792
SEO Services,3,0.7586666666666666,0.008082903768654767
Rendering Services,2,0.7775000000000001,0.012020815280171319
